Salary,Hours,Exercise
90K,9-12,I don't typically exercise
120K,9-12,I don't typically exercise
75K,9-12,I don't typically exercise
80K,9-12,3 - 4 times per week
60K,9-12,3 - 4 times per week
105K,9-12,I don't typically exercise
,9-12,I don't typically exercise
55K,5-8,I don't typically exercise
120K,5-8,Daily or almost every day
,9-12,1 - 2 times per week
130K,9-12,I don't typically exercise
310K,9-12,3 - 4 times per week
75K,5-8,3 - 4 times per week
,5-8,1 - 2 times per week
250K,9-12,Daily or almost every day
90K,9-12,3 - 4 times per week
,>12,3 - 4 times per week
130K,5-8,Daily or almost every day
155K,9-12,3 - 4 times per week
75K,5-8,I don't typically exercise
75K,9-12,Daily or almost every day
45K,9-12,I don't typically exercise
85K,9-12,Daily or almost every day
105K,5-8,I don't typically exercise
95K,9-12,3 - 4 times per week
,9-12,1 - 2 times per week
85K,5-8,1 - 2 times per week
125K,9-12,I don't typically exercise
185K,>12,I don't typically exercise
145K,9-12,Daily or almost every day
130K,5-8,1 - 2 times per week
,9-12,I don't typically exercise
,9-12,I don't typically exercise
75K,5-8,I don't typically exercise
140K,5-8,I don't typically exercise
75K,>12,I don't typically exercise
95K,>12,I don't typically exercise
50K,5-8,3 - 4 times per week
55K,5-8,Daily or almost every day
165K,9-12,1 - 2 times per week
75K,9-12,I don't typically exercise
140K,>12,1 - 2 times per week
160K,9-12,I don't typically exercise
,9-12,1 - 2 times per week
145K,9-12,I don't typically exercise
125K,9-12,Daily or almost every day
140K,5-8,I don't typically exercise
130K,9-12,1 - 2 times per week
80K,9-12,1 - 2 times per week
120K,5-8,Daily or almost every day
140K,9-12,Daily or almost every day
115K,9-12,Daily or almost every day
70K,9-12,1 - 2 times per week
55K,9-12,1 - 2 times per week
65K,9-12,1 - 2 times per week
140K,5-8,I don't typically exercise
55K,5-8,I don't typically exercise
90K,9-12,I don't typically exercise
90K,5-8,I don't typically exercise
105K,9-12,I don't typically exercise
100K,5-8,I don't typically exercise
100K,9-12,Daily or almost every day
130K,5-8,I don't typically exercise
100K,9-12,I don't typically exercise
120K,9-12,1 - 2 times per week
110K,9-12,I don't typically exercise
150K,5-8,1 - 2 times per week
,5-8,3 - 4 times per week
85K,9-12,1 - 2 times per week
85K,5-8,3 - 4 times per week
,9-12,I don't typically exercise
85K,5-8,I don't typically exercise
,9-12,1 - 2 times per week
75K,5-8,I don't typically exercise
80K,9-12,I don't typically exercise
,5-8,3 - 4 times per week
85K,9-12,1 - 2 times per week
,9-12,Daily or almost every day
,5-8,I don't typically exercise
50K,>12,I don't typically exercise
75K,>12,I don't typically exercise
45K,9-12,I don't typically exercise
35K,5-8,3 - 4 times per week
,>12,I don't typically exercise
110K,5-8,I don't typically exercise
,9-12,Daily or almost every day
65K,9-12,I don't typically exercise
,5-8,I don't typically exercise
165K,9-12,3 - 4 times per week
,>12,3 - 4 times per week
,9-12,I don't typically exercise
125K,9-12,3 - 4 times per week
110K,9-12,I don't typically exercise
50K,9-12,I don't typically exercise
65K,>12,3 - 4 times per week
150K,9-12,I don't typically exercise
10K,5-8,1 - 2 times per week
40K,9-12,I don't typically exercise
145K,5-8,1 - 2 times per week
105K,9-12,I don't typically exercise
80K,5-8,3 - 4 times per week
,>12,I don't typically exercise
,5-8,Daily or almost every day
,9-12,1 - 2 times per week
90K,5-8,Daily or almost every day
160K,9-12,Daily or almost every day
115K,9-12,I don't typically exercise
75K,5-8,I don't typically exercise
110K,5-8,I don't typically exercise
120K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
30K,9-12,I don't typically exercise
105K,>12,1 - 2 times per week
,5-8,I don't typically exercise
110K,9-12,3 - 4 times per week
80K,9-12,Daily or almost every day
75K,5-8,I don't typically exercise
120K,9-12,1 - 2 times per week
150K,9-12,1 - 2 times per week
25K,9-12,I don't typically exercise
0K,5-8,Daily or almost every day
,5-8,1 - 2 times per week
,9-12,3 - 4 times per week
,9-12,I don't typically exercise
90K,9-12,I don't typically exercise
85K,9-12,I don't typically exercise
75K,9-12,I don't typically exercise
,9-12,I don't typically exercise
165K,9-12,3 - 4 times per week
110K,5-8,1 - 2 times per week
65K,9-12,1 - 2 times per week
75K,>12,I don't typically exercise
605K,5-8,1 - 2 times per week
70K,5-8,I don't typically exercise
175K,9-12,I don't typically exercise
50K,9-12,3 - 4 times per week
75K,9-12,1 - 2 times per week
115K,9-12,I don't typically exercise
105K,9-12,Daily or almost every day
90K,9-12,I don't typically exercise
100K,5-8,3 - 4 times per week
125K,9-12,Daily or almost every day
135K,9-12,3 - 4 times per week
50K,5-8,I don't typically exercise
160K,9-12,1 - 2 times per week
130K,5-8,I don't typically exercise
75K,5-8,1 - 2 times per week
45K,9-12,3 - 4 times per week
,>12,I don't typically exercise
,9-12,I don't typically exercise
135K,5-8,1 - 2 times per week
100K,5-8,3 - 4 times per week
150K,5-8,1 - 2 times per week
,9-12,I don't typically exercise
,5-8,I don't typically exercise
145K,5-8,3 - 4 times per week
95K,9-12,1 - 2 times per week
95K,9-12,3 - 4 times per week
190K,9-12,1 - 2 times per week
,>12,I don't typically exercise
105K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
220K,>12,1 - 2 times per week
85K,9-12,I don't typically exercise
160K,9-12,Daily or almost every day
160K,>12,Daily or almost every day
75K,9-12,I don't typically exercise
110K,9-12,3 - 4 times per week
80K,9-12,I don't typically exercise
125K,>12,Daily or almost every day
115K,>12,I don't typically exercise
105K,9-12,Daily or almost every day
105K,9-12,3 - 4 times per week
0K,5-8,Daily or almost every day
85K,5-8,1 - 2 times per week
75K,5-8,3 - 4 times per week
185K,5-8,I don't typically exercise
75K,5-8,Daily or almost every day
195K,9-12,Daily or almost every day
100K,9-12,I don't typically exercise
75K,9-12,1 - 2 times per week
90K,9-12,1 - 2 times per week
115K,9-12,Daily or almost every day
125K,9-12,Daily or almost every day
100K,5-8,I don't typically exercise
110K,9-12,I don't typically exercise
70K,5-8,1 - 2 times per week
190K,9-12,1 - 2 times per week
80K,9-12,I don't typically exercise
180K,9-12,Daily or almost every day
75K,5-8,1 - 2 times per week
115K,>12,I don't typically exercise
115K,9-12,I don't typically exercise
150K,9-12,I don't typically exercise
90K,5-8,3 - 4 times per week
130K,5-8,3 - 4 times per week
120K,9-12,3 - 4 times per week
170K,5-8,3 - 4 times per week
40K,9-12,3 - 4 times per week
90K,5-8,I don't typically exercise
90K,5-8,3 - 4 times per week
,9-12,I don't typically exercise
115K,9-12,Daily or almost every day
0K,9-12,1 - 2 times per week
45K,9-12,3 - 4 times per week
75K,9-12,3 - 4 times per week
110K,9-12,Daily or almost every day
,1-4,I don't typically exercise
55K,9-12,I don't typically exercise
,9-12,1 - 2 times per week
95K,9-12,1 - 2 times per week
85K,9-12,3 - 4 times per week
,9-12,Daily or almost every day
,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
90K,5-8,3 - 4 times per week
75K,5-8,I don't typically exercise
110K,>12,I don't typically exercise
,9-12,Daily or almost every day
,5-8,I don't typically exercise
65K,5-8,I don't typically exercise
,5-8,1 - 2 times per week
150K,9-12,I don't typically exercise
70K,9-12,3 - 4 times per week
40K,5-8,1 - 2 times per week
,5-8,I don't typically exercise
,9-12,I don't typically exercise
,9-12,3 - 4 times per week
,>12,I don't typically exercise
,9-12,1 - 2 times per week
180K,9-12,1 - 2 times per week
160K,9-12,3 - 4 times per week
75K,9-12,I don't typically exercise
110K,9-12,3 - 4 times per week
65K,9-12,1 - 2 times per week
85K,5-8,Daily or almost every day
,9-12,1 - 2 times per week
175K,9-12,I don't typically exercise
115K,9-12,I don't typically exercise
110K,9-12,1 - 2 times per week
80K,9-12,I don't typically exercise
50K,9-12,I don't typically exercise
120K,5-8,1 - 2 times per week
75K,5-8,3 - 4 times per week
205K,>12,I don't typically exercise
40K,9-12,1 - 2 times per week
95K,5-8,I don't typically exercise
70K,5-8,1 - 2 times per week
130K,9-12,3 - 4 times per week
100K,9-12,I don't typically exercise
105K,9-12,I don't typically exercise
80K,9-12,I don't typically exercise
95K,9-12,3 - 4 times per week
125K,5-8,I don't typically exercise
145K,9-12,1 - 2 times per week
120K,9-12,3 - 4 times per week
,>12,3 - 4 times per week
135K,5-8,I don't typically exercise
80K,9-12,Daily or almost every day
90K,5-8,I don't typically exercise
1080K,9-12,I don't typically exercise
,1-4,3 - 4 times per week
70K,9-12,I don't typically exercise
,9-12,1 - 2 times per week
65K,>12,1 - 2 times per week
1250K,5-8,I don't typically exercise
110K,9-12,3 - 4 times per week
100K,>12,I don't typically exercise
90K,9-12,I don't typically exercise
,9-12,1 - 2 times per week
70K,>12,1 - 2 times per week
100K,9-12,1 - 2 times per week
60K,9-12,3 - 4 times per week
995K,9-12,I don't typically exercise
135K,5-8,1 - 2 times per week
75K,1-4,3 - 4 times per week
60K,5-8,I don't typically exercise
,9-12,1 - 2 times per week
120K,9-12,1 - 2 times per week
,5-8,I don't typically exercise
150K,9-12,3 - 4 times per week
135K,9-12,1 - 2 times per week
105K,9-12,3 - 4 times per week
60K,9-12,1 - 2 times per week
,5-8,I don't typically exercise
,5-8,Daily or almost every day
70K,5-8,3 - 4 times per week
60K,9-12,1 - 2 times per week
95K,9-12,1 - 2 times per week
70K,9-12,I don't typically exercise
50K,9-12,3 - 4 times per week
100K,9-12,1 - 2 times per week
90K,9-12,I don't typically exercise
,9-12,I don't typically exercise
,9-12,1 - 2 times per week
,9-12,Daily or almost every day
95K,5-8,3 - 4 times per week
45K,9-12,1 - 2 times per week
,5-8,Daily or almost every day
80K,5-8,1 - 2 times per week
120K,9-12,1 - 2 times per week
145K,9-12,I don't typically exercise
85K,5-8,1 - 2 times per week
,5-8,1 - 2 times per week
40K,9-12,3 - 4 times per week
10K,9-12,1 - 2 times per week
10K,9-12,1 - 2 times per week
45K,9-12,I don't typically exercise
,9-12,3 - 4 times per week
120K,5-8,I don't typically exercise
,5-8,1 - 2 times per week
,NA,1 - 2 times per week
,1-4,I don't typically exercise
,9-12,3 - 4 times per week
55K,5-8,1 - 2 times per week
,>12,I don't typically exercise
,>12,I don't typically exercise
120K,5-8,I don't typically exercise
40K,9-12,I don't typically exercise
45K,5-8,3 - 4 times per week
105K,>12,1 - 2 times per week
80K,9-12,I don't typically exercise
100K,5-8,3 - 4 times per week
65K,9-12,3 - 4 times per week
,9-12,1 - 2 times per week
140K,>12,I don't typically exercise
,9-12,I don't typically exercise
150K,9-12,I don't typically exercise
,5-8,I don't typically exercise
150K,9-12,I don't typically exercise
85K,9-12,1 - 2 times per week
85K,9-12,I don't typically exercise
,9-12,3 - 4 times per week
,1-4,1 - 2 times per week
,9-12,Daily or almost every day
,5-8,Daily or almost every day
,5-8,1 - 2 times per week
,5-8,3 - 4 times per week
60K,9-12,I don't typically exercise
110K,>12,I don't typically exercise
80K,9-12,3 - 4 times per week
50K,9-12,1 - 2 times per week
,5-8,1 - 2 times per week
,5-8,I don't typically exercise
,9-12,1 - 2 times per week
115K,9-12,3 - 4 times per week
,9-12,Daily or almost every day
,5-8,3 - 4 times per week
,9-12,I don't typically exercise
,>12,I don't typically exercise
70K,9-12,1 - 2 times per week
,5-8,I don't typically exercise
65K,9-12,1 - 2 times per week
115K,9-12,1 - 2 times per week
95K,5-8,I don't typically exercise
140K,5-8,3 - 4 times per week
,5-8,3 - 4 times per week
,9-12,1 - 2 times per week
80K,9-12,1 - 2 times per week
,9-12,Daily or almost every day
,9-12,Daily or almost every day
110K,9-12,3 - 4 times per week
55K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
85K,9-12,3 - 4 times per week
150K,9-12,I don't typically exercise
150K,5-8,3 - 4 times per week
125K,9-12,I don't typically exercise
70K,5-8,3 - 4 times per week
120K,9-12,1 - 2 times per week
115K,5-8,1 - 2 times per week
60K,5-8,I don't typically exercise
55K,9-12,I don't typically exercise
80K,9-12,Daily or almost every day
155K,9-12,3 - 4 times per week
120K,5-8,Daily or almost every day
30K,5-8,Daily or almost every day
90K,9-12,I don't typically exercise
110K,9-12,I don't typically exercise
170K,9-12,1 - 2 times per week
175K,5-8,1 - 2 times per week
140K,9-12,3 - 4 times per week
25K,5-8,1 - 2 times per week
,9-12,1 - 2 times per week
,5-8,1 - 2 times per week
90K,5-8,3 - 4 times per week
65K,9-12,1 - 2 times per week
120K,9-12,I don't typically exercise
80K,5-8,I don't typically exercise
,9-12,3 - 4 times per week
140K,9-12,Daily or almost every day
95K,5-8,1 - 2 times per week
120K,9-12,I don't typically exercise
,9-12,3 - 4 times per week
115K,9-12,Daily or almost every day
95K,5-8,I don't typically exercise
75K,5-8,1 - 2 times per week
,5-8,I don't typically exercise
120K,9-12,Daily or almost every day
20K,1-4,1 - 2 times per week
110K,9-12,1 - 2 times per week
115K,9-12,Daily or almost every day
120K,5-8,1 - 2 times per week
130K,9-12,I don't typically exercise
60K,9-12,Daily or almost every day
125K,9-12,1 - 2 times per week
75K,5-8,Daily or almost every day
85K,5-8,3 - 4 times per week
105K,9-12,I don't typically exercise
60K,9-12,Daily or almost every day
75K,5-8,1 - 2 times per week
150K,9-12,I don't typically exercise
130K,9-12,I don't typically exercise
105K,9-12,I don't typically exercise
105K,5-8,I don't typically exercise
120K,9-12,3 - 4 times per week
85K,9-12,1 - 2 times per week
75K,9-12,1 - 2 times per week
350K,9-12,I don't typically exercise
95K,9-12,Daily or almost every day
90K,5-8,1 - 2 times per week
90K,9-12,I don't typically exercise
,5-8,1 - 2 times per week
95K,9-12,1 - 2 times per week
80K,9-12,Daily or almost every day
125K,9-12,1 - 2 times per week
115K,9-12,1 - 2 times per week
80K,9-12,3 - 4 times per week
,5-8,Daily or almost every day
150K,9-12,Daily or almost every day
135K,9-12,1 - 2 times per week
140K,9-12,1 - 2 times per week
,5-8,3 - 4 times per week
75K,5-8,I don't typically exercise
,5-8,I don't typically exercise
95K,5-8,1 - 2 times per week
110K,9-12,I don't typically exercise
125K,9-12,Daily or almost every day
110K,5-8,Daily or almost every day
35K,1-4,1 - 2 times per week
,9-12,I don't typically exercise
65K,9-12,1 - 2 times per week
30K,5-8,1 - 2 times per week
180K,9-12,1 - 2 times per week
105K,9-12,I don't typically exercise
,5-8,1 - 2 times per week
155K,1-4,1 - 2 times per week
,9-12,I don't typically exercise
110K,5-8,I don't typically exercise
,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
100K,9-12,I don't typically exercise
85K,5-8,Daily or almost every day
300K,9-12,I don't typically exercise
,5-8,3 - 4 times per week
55K,>12,I don't typically exercise
,9-12,1 - 2 times per week
120K,>12,3 - 4 times per week
150K,9-12,1 - 2 times per week
135K,5-8,1 - 2 times per week
55K,>12,I don't typically exercise
,5-8,3 - 4 times per week
,>12,I don't typically exercise
90K,5-8,I don't typically exercise
90K,5-8,I don't typically exercise
65K,9-12,1 - 2 times per week
150K,5-8,1 - 2 times per week
80K,9-12,3 - 4 times per week
30K,5-8,I don't typically exercise
75K,9-12,I don't typically exercise
,9-12,1 - 2 times per week
,9-12,I don't typically exercise
155K,9-12,3 - 4 times per week
90K,5-8,I don't typically exercise
,9-12,Daily or almost every day
,9-12,Daily or almost every day
,9-12,I don't typically exercise
,5-8,1 - 2 times per week
80K,9-12,Daily or almost every day
,5-8,Daily or almost every day
180K,9-12,Daily or almost every day
65K,9-12,I don't typically exercise
135K,5-8,1 - 2 times per week
65K,9-12,I don't typically exercise
125K,9-12,3 - 4 times per week
150K,9-12,1 - 2 times per week
155K,9-12,1 - 2 times per week
95K,5-8,I don't typically exercise
105K,5-8,I don't typically exercise
45K,9-12,3 - 4 times per week
260K,5-8,1 - 2 times per week
55K,5-8,I don't typically exercise
115K,9-12,I don't typically exercise
150K,>12,I don't typically exercise
140K,9-12,1 - 2 times per week
175K,9-12,1 - 2 times per week
,>12,I don't typically exercise
95K,>12,I don't typically exercise
50K,9-12,I don't typically exercise
90K,9-12,3 - 4 times per week
210K,5-8,I don't typically exercise
1470K,9-12,3 - 4 times per week
95K,9-12,1 - 2 times per week
90K,>12,I don't typically exercise
,5-8,1 - 2 times per week
90K,9-12,Daily or almost every day
70K,5-8,3 - 4 times per week
85K,5-8,I don't typically exercise
80K,5-8,1 - 2 times per week
,9-12,1 - 2 times per week
,9-12,3 - 4 times per week
105K,5-8,Daily or almost every day
110K,9-12,3 - 4 times per week
10K,9-12,Daily or almost every day
85K,9-12,Daily or almost every day
,9-12,3 - 4 times per week
,9-12,I don't typically exercise
135K,9-12,3 - 4 times per week
,5-8,I don't typically exercise
,5-8,1 - 2 times per week
85K,>12,I don't typically exercise
210K,9-12,I don't typically exercise
50K,>12,3 - 4 times per week
150K,>12,I don't typically exercise
180K,5-8,I don't typically exercise
95K,5-8,3 - 4 times per week
170K,5-8,1 - 2 times per week
120K,5-8,Daily or almost every day
,5-8,Daily or almost every day
1080K,9-12,I don't typically exercise
,5-8,Daily or almost every day
110K,5-8,I don't typically exercise
,9-12,I don't typically exercise
50K,9-12,I don't typically exercise
115K,5-8,I don't typically exercise
170K,9-12,I don't typically exercise
40K,9-12,3 - 4 times per week
70K,9-12,1 - 2 times per week
55K,5-8,I don't typically exercise
90K,9-12,1 - 2 times per week
,5-8,1 - 2 times per week
60K,>12,1 - 2 times per week
110K,5-8,Daily or almost every day
,>12,I don't typically exercise
120K,9-12,3 - 4 times per week
120K,1-4,Daily or almost every day
750K,9-12,I don't typically exercise
,5-8,1 - 2 times per week
65K,1-4,1 - 2 times per week
90K,5-8,I don't typically exercise
250K,9-12,I don't typically exercise
105K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
150K,5-8,3 - 4 times per week
0K,9-12,I don't typically exercise
80K,9-12,3 - 4 times per week
165K,9-12,Daily or almost every day
70K,5-8,1 - 2 times per week
,9-12,1 - 2 times per week
,5-8,I don't typically exercise
140K,9-12,1 - 2 times per week
,NA,NA
,NA,3 - 4 times per week
105K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
105K,9-12,I don't typically exercise
95K,9-12,Daily or almost every day
60K,9-12,I don't typically exercise
120K,5-8,I don't typically exercise
,5-8,3 - 4 times per week
,5-8,I don't typically exercise
70K,5-8,I don't typically exercise
175K,9-12,I don't typically exercise
,9-12,I don't typically exercise
125K,5-8,1 - 2 times per week
,9-12,1 - 2 times per week
85K,5-8,3 - 4 times per week
75K,9-12,1 - 2 times per week
,9-12,Daily or almost every day
,9-12,1 - 2 times per week
180K,5-8,Daily or almost every day
,9-12,I don't typically exercise
,>12,I don't typically exercise
,9-12,I don't typically exercise
85K,5-8,Daily or almost every day
125K,5-8,1 - 2 times per week
160K,9-12,3 - 4 times per week
160K,5-8,3 - 4 times per week
120K,9-12,I don't typically exercise
120K,>12,I don't typically exercise
150K,5-8,Daily or almost every day
65K,9-12,3 - 4 times per week
155K,9-12,3 - 4 times per week
115K,5-8,I don't typically exercise
120K,5-8,I don't typically exercise
,5-8,Daily or almost every day
,9-12,1 - 2 times per week
110K,9-12,1 - 2 times per week
175K,5-8,I don't typically exercise
105K,9-12,3 - 4 times per week
115K,5-8,1 - 2 times per week
50K,>12,I don't typically exercise
100K,5-8,3 - 4 times per week
135K,9-12,1 - 2 times per week
130K,9-12,I don't typically exercise
1200K,5-8,3 - 4 times per week
130K,9-12,3 - 4 times per week
125K,5-8,I don't typically exercise
110K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
95K,>12,1 - 2 times per week
110K,9-12,Daily or almost every day
80K,9-12,3 - 4 times per week
,9-12,1 - 2 times per week
175K,9-12,3 - 4 times per week
110K,9-12,1 - 2 times per week
70K,5-8,3 - 4 times per week
120K,9-12,Daily or almost every day
100K,5-8,1 - 2 times per week
120K,9-12,1 - 2 times per week
110K,5-8,Daily or almost every day
100K,9-12,I don't typically exercise
135K,9-12,Daily or almost every day
110K,9-12,I don't typically exercise
85K,9-12,1 - 2 times per week
175K,5-8,Daily or almost every day
,5-8,3 - 4 times per week
,5-8,I don't typically exercise
85K,5-8,I don't typically exercise
40K,5-8,I don't typically exercise
255K,9-12,I don't typically exercise
135K,5-8,1 - 2 times per week
190K,9-12,3 - 4 times per week
130K,5-8,1 - 2 times per week
80K,9-12,1 - 2 times per week
70K,9-12,I don't typically exercise
155K,5-8,I don't typically exercise
90K,9-12,3 - 4 times per week
,5-8,1 - 2 times per week
80K,5-8,I don't typically exercise
,9-12,I don't typically exercise
175K,9-12,I don't typically exercise
,9-12,3 - 4 times per week
80K,9-12,1 - 2 times per week
60K,>12,1 - 2 times per week
65K,5-8,Daily or almost every day
85K,9-12,3 - 4 times per week
90K,9-12,3 - 4 times per week
115K,9-12,1 - 2 times per week
0K,9-12,Daily or almost every day
120K,9-12,I don't typically exercise
110K,9-12,3 - 4 times per week
125K,9-12,Daily or almost every day
60K,>12,Daily or almost every day
60K,9-12,1 - 2 times per week
95K,9-12,Daily or almost every day
120K,9-12,I don't typically exercise
125K,9-12,Daily or almost every day
70K,9-12,I don't typically exercise
90K,9-12,3 - 4 times per week
110K,5-8,I don't typically exercise
70K,5-8,I don't typically exercise
65K,9-12,3 - 4 times per week
150K,>12,I don't typically exercise
50K,9-12,1 - 2 times per week
135K,9-12,1 - 2 times per week
125K,5-8,I don't typically exercise
95K,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
150K,9-12,3 - 4 times per week
90K,5-8,I don't typically exercise
145K,5-8,Daily or almost every day
,9-12,1 - 2 times per week
150K,5-8,Daily or almost every day
85K,5-8,3 - 4 times per week
,9-12,1 - 2 times per week
65K,9-12,Daily or almost every day
120K,5-8,I don't typically exercise
,9-12,1 - 2 times per week
85K,9-12,I don't typically exercise
150K,5-8,1 - 2 times per week
105K,9-12,1 - 2 times per week
,9-12,3 - 4 times per week
120K,5-8,3 - 4 times per week
,5-8,Daily or almost every day
,5-8,I don't typically exercise
205K,5-8,Daily or almost every day
120K,5-8,Daily or almost every day
,5-8,I don't typically exercise
90K,9-12,1 - 2 times per week
,5-8,1 - 2 times per week
,5-8,I don't typically exercise
50K,9-12,3 - 4 times per week
80K,5-8,1 - 2 times per week
115K,5-8,Daily or almost every day
190K,9-12,1 - 2 times per week
125K,5-8,1 - 2 times per week
150K,9-12,Daily or almost every day
65K,5-8,1 - 2 times per week
175K,9-12,I don't typically exercise
140K,5-8,3 - 4 times per week
110K,>12,I don't typically exercise
110K,9-12,1 - 2 times per week
120K,>12,3 - 4 times per week
,9-12,Daily or almost every day
65K,9-12,3 - 4 times per week
75K,5-8,I don't typically exercise
95K,>12,1 - 2 times per week
,5-8,3 - 4 times per week
160K,5-8,I don't typically exercise
145K,5-8,I don't typically exercise
90K,9-12,I don't typically exercise
,5-8,I don't typically exercise
130K,9-12,1 - 2 times per week
,9-12,I don't typically exercise
100K,5-8,1 - 2 times per week
85K,9-12,I don't typically exercise
55K,5-8,I don't typically exercise
125K,5-8,Daily or almost every day
90K,5-8,I don't typically exercise
,9-12,1 - 2 times per week
,5-8,1 - 2 times per week
250K,9-12,1 - 2 times per week
90K,5-8,3 - 4 times per week
150K,9-12,I don't typically exercise
155K,9-12,3 - 4 times per week
,>12,3 - 4 times per week
,5-8,3 - 4 times per week
,9-12,I don't typically exercise
,9-12,I don't typically exercise
100K,9-12,I don't typically exercise
180K,5-8,I don't typically exercise
100K,>12,3 - 4 times per week
150K,5-8,1 - 2 times per week
125K,9-12,Daily or almost every day
45K,5-8,I don't typically exercise
105K,9-12,1 - 2 times per week
120K,5-8,I don't typically exercise
150K,9-12,I don't typically exercise
90K,9-12,I don't typically exercise
75K,5-8,I don't typically exercise
105K,9-12,I don't typically exercise
75K,>12,3 - 4 times per week
120K,9-12,1 - 2 times per week
135K,>12,I don't typically exercise
140K,9-12,3 - 4 times per week
95K,9-12,I don't typically exercise
160K,5-8,1 - 2 times per week
110K,9-12,I don't typically exercise
90K,9-12,3 - 4 times per week
110K,9-12,1 - 2 times per week
75K,9-12,1 - 2 times per week
85K,>12,I don't typically exercise
125K,5-8,3 - 4 times per week
120K,5-8,I don't typically exercise
150K,9-12,3 - 4 times per week
80K,5-8,I don't typically exercise
85K,5-8,1 - 2 times per week
100K,5-8,1 - 2 times per week
55K,9-12,Daily or almost every day
60K,9-12,Daily or almost every day
65K,5-8,3 - 4 times per week
105K,9-12,Daily or almost every day
90K,5-8,1 - 2 times per week
80K,5-8,3 - 4 times per week
80K,9-12,I don't typically exercise
60K,9-12,Daily or almost every day
150K,9-12,I don't typically exercise
125K,9-12,Daily or almost every day
105K,9-12,I don't typically exercise
115K,5-8,3 - 4 times per week
120K,9-12,I don't typically exercise
130K,9-12,I don't typically exercise
85K,>12,I don't typically exercise
160K,5-8,I don't typically exercise
,9-12,3 - 4 times per week
65K,>12,I don't typically exercise
,9-12,1 - 2 times per week
70K,9-12,1 - 2 times per week
170K,9-12,Daily or almost every day
110K,9-12,1 - 2 times per week
165K,5-8,I don't typically exercise
95K,9-12,1 - 2 times per week
120K,9-12,1 - 2 times per week
,5-8,I don't typically exercise
150K,9-12,1 - 2 times per week
60K,5-8,I don't typically exercise
,NA,NA
150K,9-12,I don't typically exercise
,9-12,Daily or almost every day
230K,5-8,Daily or almost every day
80K,9-12,I don't typically exercise
130K,9-12,Daily or almost every day
165K,5-8,Daily or almost every day
150K,9-12,Daily or almost every day
65K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
105K,5-8,I don't typically exercise
160K,9-12,I don't typically exercise
130K,9-12,I don't typically exercise
145K,9-12,I don't typically exercise
,5-8,Daily or almost every day
115K,9-12,1 - 2 times per week
75K,>12,1 - 2 times per week
130K,9-12,3 - 4 times per week
70K,9-12,3 - 4 times per week
,5-8,Daily or almost every day
160K,9-12,I don't typically exercise
,9-12,Daily or almost every day
185K,9-12,I don't typically exercise
135K,>12,3 - 4 times per week
235K,9-12,1 - 2 times per week
,9-12,Daily or almost every day
,9-12,1 - 2 times per week
70K,5-8,I don't typically exercise
,5-8,I don't typically exercise
90K,5-8,I don't typically exercise
,9-12,I don't typically exercise
,9-12,I don't typically exercise
,9-12,I don't typically exercise
100K,>12,Daily or almost every day
70K,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
185K,>12,1 - 2 times per week
100K,5-8,1 - 2 times per week
155K,>12,1 - 2 times per week
115K,5-8,1 - 2 times per week
,5-8,I don't typically exercise
95K,9-12,I don't typically exercise
110K,9-12,1 - 2 times per week
120K,9-12,Daily or almost every day
120K,5-8,3 - 4 times per week
60K,9-12,I don't typically exercise
,5-8,I don't typically exercise
1295K,5-8,I don't typically exercise
45K,5-8,Daily or almost every day
120K,5-8,1 - 2 times per week
,9-12,1 - 2 times per week
115K,9-12,Daily or almost every day
,5-8,3 - 4 times per week
150K,9-12,I don't typically exercise
170K,9-12,I don't typically exercise
,9-12,I don't typically exercise
110K,9-12,I don't typically exercise
150K,5-8,I don't typically exercise
50K,9-12,I don't typically exercise
100K,>12,3 - 4 times per week
80K,9-12,I don't typically exercise
135K,9-12,Daily or almost every day
80K,9-12,I don't typically exercise
,9-12,3 - 4 times per week
115K,9-12,I don't typically exercise
155K,9-12,I don't typically exercise
90K,9-12,1 - 2 times per week
135K,9-12,Daily or almost every day
120K,9-12,I don't typically exercise
95K,9-12,1 - 2 times per week
80K,5-8,1 - 2 times per week
125K,9-12,3 - 4 times per week
160K,5-8,I don't typically exercise
70K,9-12,I don't typically exercise
180K,9-12,1 - 2 times per week
120K,9-12,1 - 2 times per week
85K,5-8,1 - 2 times per week
180K,9-12,3 - 4 times per week
,5-8,I don't typically exercise
90K,9-12,3 - 4 times per week
,9-12,I don't typically exercise
70K,5-8,1 - 2 times per week
105K,9-12,Daily or almost every day
10K,5-8,3 - 4 times per week
65K,5-8,1 - 2 times per week
25K,1-4,I don't typically exercise
125K,9-12,3 - 4 times per week
75K,9-12,I don't typically exercise
,9-12,I don't typically exercise
,5-8,I don't typically exercise
75K,9-12,Daily or almost every day
